c Arquivo de Testes
a 1 2 803
a 2 1 803
a 3 4 158
a 4 3 158
a 5 6 774
a 6 5 774
a 7 8 1531
a 8 7 1531
a 9 10 1673
a 10 9 1673
a 9 11 1400
a 11 9 1400
a 1 12 842
a 12 1 842
a 2 13 591
a 13 2 591
a 14 15 1371
a 15 14 1371
a 16 17 1659
a 17 16 1659
a 18 19 1012
a 19 18 1012
a 20 21 1226
a 21 20 1226
a 20 22 1265
a 22 20 1265
a 23 24 2707
a 24 23 2707
a 25 26 520
a 26 25 520
a 27 28 783
a 28 27 783
a 29 30 518
a 30 29 518
a 31 32 3412
a 32 31 3412
a 33 34 1994
a 34 33 1994
a 33 35 337
a 35 33 337
a 36 37 363
a 37 36 363
a 38 39 1018
a 39 38 1018
a 40 41 392
a 41 40 392
a 29 42 1074
a 42 29 1074
a 43 44 570
a 44 43 570
a 44 45 1764
a 45 44 1764
a 46 47 1104
a 47 46 1104
a 2 48 617
a 48 2 617
a 49 50 1515
a 50 49 1515
a 49 51 1186
a 51 49 1186
a 52 53 2068
a 53 52 2068
a 54 55 520
a 55 54 520
a 56 57 734
a 57 56 734
a 58 59 705
a 59 58 705
a 60 61 1253
a 61 60 1253
a 62 63 2418
a 63 62 2418
a 64 65 1031
a 65 64 1031
a 66 58 611
a 58 66 611
a 67 68 3233
a 68 67 3233
a 68 60 317
a 60 68 317
a 60 69 1708
a 69 60 1708
a 70 71 353
a 71 70 353
a 69 70 454
a 70 69 454
a 72 73 5162
a 73 72 5162
a 74 75 798
a 75 74 798
a 74 76 1407
a 76 74 1407
a 77 78 488
a 78 77 488
a 77 79 931
a 79 77 931
a 78 80 4705
a 80 78 4705
a 78 81 1284
a 81 78 1284
a 82 83 369
a 83 82 369
a 82 84 1744
a 84 82 1744
a 85 86 7921
a 86 85 7921
a 86 87 10233
a 87 86 10233
a 88 89 328
a 89 88 328
a 90 91 456
a 91 90 456
a 91 88 909
a 88 91 909
a 92 93 264
a 93 92 264
a 91 92 484
a 92 91 484
a 94 95 143
a 95 94 143
a 96 97 2345
a 97 96 2345
a 98 99 3101
a 99 98 3101
a 100 101 3177
a 101 100 3177
a 102 103 6117
a 103 102 6117
a 104 105 1065
a 105 104 1065
a 106 107 5791
a 107 106 5791
a 108 109 2285
a 109 108 2285
a 110 109 4799
a 109 110 4799
a 109 106 3701
a 106 109 3701
a 111 106 921
a 106 111 921
a 112 110 3002
a 110 112 3002
a 113 114 111
a 114 113 111
a 115 113 1436
a 113 115 1436
a 116 117 4240
a 117 116 4240
a 118 119 1052
a 119 118 1052
a 118 116 2551
a 116 118 2551
a 120 118 3631
a 118 120 3631
a 121 122 1782
a 122 121 1782
a 123 120 1547
a 120 123 1547
a 123 124 2138
a 124 123 2138
a 125 123 3594
a 123 125 3594
a 126 127 1031
a 127 126 1031
a 126 128 2085
a 128 126 2085
a 125 126 2166
a 126 125 2166
a 129 125 524
a 125 129 524
a 130 129 6959
a 129 130 6959
a 130 131 5495
a 131 130 5495
a 131 132 1261
a 132 131 1261
a 133 134 2886
a 134 133 2886
a 131 134 4246
a 134 131 4246
a 135 136 535
a 136 135 535
a 134 135 1005
a 135 134 1005
a 135 137 1686
a 137 135 1686
a 138 139 3557
a 139 138 3557
a 138 140 2675
a 140 138 2675
a 139 141 603
a 141 139 603
a 139 142 2691
a 142 139 2691
a 143 144 1897
a 144 143 1897
a 143 145 473
a 145 143 473
a 140 146 7734
a 146 140 7734
a 140 143 788
a 143 140 788
a 147 148 2271
a 148 147 2271
a 147 149 3591
a 149 147 3591
a 146 150 782
a 150 146 782
a 146 151 765
a 151 146 765
a 152 153 2242
a 153 152 2242
a 154 147 1802
a 147 154 1802
